deal_id;deal_name;company;owner;hubspot_owner_id;stage;amount_usd;close_date;days_in_stage;last_activity_date;last_activity_days_ago;Risk_>45_days;Risk_>60_days;Risk_>90_days;last_activity_type;region;product_line;industry;forecast_category;probability;contact_count;email_log_count;task_count;meeting_count;engagement_score;source;google_deal_type;deal_created_date;last_modified_date;invoice_date;invoice_amount_usd; invoice_amount_local ;currency;payment_status;payment_date;payment_method;days_overdue;invoice_type;tax_id;margin_percent
D-2411;Deal 11 - Opportunity;Client_11;Maria Lopez;HO-1117;Qualification;17779;14/07/26;30;12/04/26;38;no;no;si;Call;Chile;Hardware;Retail;Pipeline;43;2;22;20;0;29;Inbound;Google Cloud;26/01/26;16/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2412;Deal 12 - Opportunity;Client_12;Luis Vargas;HO-7669;Discovery;145938;25/07/26;61;4/05/26;16;no;no;si;Meeting;Bolivia;Hardware;Education;Pipeline;28;6;3;3;10;55;Sales Development;Partner Opportunity;5/01/26;21/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2413;Deal 13 - Opportunity;Client_13;Carlos Ruiz;HO-8350;Negotiation;295544;9/06/26;25;7/05/26;13;no;no;si;Demo;Peru;Cloud Solutions;Telecom;Best Case;46;4;13;5;4;59;Partner;Google Cloud;28/12/25;30/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2414;Deal 14 - Opportunity;Client_14;Roberto Sanchez;HO-3724;Negotiation;94010;30/05/26;119;1/04/26;49;si;no;si;Call;Peru;Cloud Solutions;Insurance;Best Case;40;13;15;15;3;51;Inbound;Google Workspace;13/01/26;20/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2415;Deal 15 - Opportunity;Client_15;Luis Vargas;HO-8973;Proposal;26364;19/07/26;72;7/04/26;43;no;no;si;Proposal Sent;Bolivia;Services;Telecom;Best Case;83;4;6;9;3;7;Referral;N/A;5/04/26;3/04/26;27/07/26;9350,09;9048,96;USD;Partial;0;Credit Card;0;Service;TAX-563531;39,4
D-2416;Deal 16 - Opportunity;Client_16;Carlos Ruiz;HO-2113;Discovery;26506;24/06/26;109;8/05/26;12;no;no;si;Email;Bolivia;Support;Education;Pipeline;26;7;12;3;9;31;Referral;N/A;10/04/26;11/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2417;Deal 17 - Opportunity;Client_17;Unassigned;;Discovery;37382;4/07/26;34;25/12/25;146;si;si;si;Call;Paraguay;Services;Technology;Pipeline;20;9;14;10;1;1;Event;N/A;27/11/25;14/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2418;Deal 18 - Opportunity;Client_18;Unassigned;;Discovery;57228;14/08/26;9;2/02/26;107;si;si;si;Task;Chile;Support;Technology;Pipeline;21;9;5;14;8;90;Sales Development;N/A;6/12/25;20/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2419;Deal 19 - Opportunity;Client_19;Roberto Sanchez;HO-5616;Qualification;165382;26/07/26;71;10/05/26;10;no;no;si;Task;Argentina;Cloud Solutions;Manufacturing;Pipeline;28;6;22;10;3;87;Existing Client;Google Marketing;12/12/25;19/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2420;Deal 20 - Opportunity;Client_20;Carlos Ruiz;HO-5291;Closed Lost;79509;28/04/26;0;31/03/26;50;si;no;si;Call;Peru;Consulting;Technology;Closed Lost;0;5;23;14;8;90;Event;N/A;18/04/26;13/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2421;Deal 21 - Opportunity;Client_21;Unassigned;;Negotiation;65067;3/06/26;56;4/03/26;77;si;si;si;Email;Mexico;Support;Financial;Best Case;75;9;11;1;5;26;Existing Client;Google Workspace;25/03/26;28/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2422;Deal 22 - Opportunity;Client_22;Diego Morales;HO-6442;Negotiation;33832;20/06/26;4;8/05/26;12;no;no;si;Proposal Sent;Mexico;Hardware;Manufacturing;Best Case;51;13;25;7;4;20;Existing Client;Google Cloud;13/01/26;26/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2423;Deal 23 - Opportunity;Client_23;Unassigned;;Negotiation;54440;16/06/26;40;6/02/26;103;si;si;si;Call;Bolivia;Hardware;Healthcare;Best Case;69;0;21;6;6;42;Sales Development;Google Cloud;8/02/26;28/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2424;Deal 24 - Opportunity;Client_24;Diego Morales;HO-2776;Discovery;42973;30/06/26;75;3/05/26;17;no;no;si;Email;Paraguay;Services;Financial;Pipeline;18;13;11;10;6;77;Referral;Google Cloud;12/01/26;24/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2425;Deal 25 - Opportunity;Client_25;Luis Vargas;HO-4228;Proposal;107532;3/07/26;88;3/04/26;47;si;no;si;Proposal Sent;Colombia;Consulting;Financial;Best Case;85;11;13;2;10;42;Referral;Google Marketing;20/03/26;4/04/26;5/07/26;43504,71;42670,83;COP;Paid;23/08/26;Bank Transfer;0;Product;TAX-909930;28,2
D-2426;Deal 26 - Opportunity;Client_26;Roberto Sanchez;HO-7211;Qualification;163480;14/07/26;17;7/05/26;13;no;no;si;Meeting;Argentina;Consulting;Logistics;Pipeline;34;5;19;18;4;51;Referral;Google Cloud;2/02/26;2/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2427;Deal 27 - Opportunity;Client_27;Ana Silva;HO-3780;Proposal;63945;29/06/26;102;23/03/26;58;si;no;si;Proposal Sent;Bolivia;Consulting;Energy;Best Case;76;2;9;16;10;81;Referral;Google Marketing;28/03/26;29/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2428;Deal 28 - Opportunity;Client_28;Pedro Gonzalez;HO-8461;Discovery;84422;4/07/26;61;10/04/26;40;no;no;si;Email;Argentina;Hardware;Healthcare;Pipeline;11;13;28;20;9;24;Existing Client;Partner Opportunity;15/12/25;25/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2429;Deal 29 - Opportunity;Client_29;Carlos Ruiz;HO-2988;Discovery;130710;18/07/26;7;14/04/26;36;no;no;si;Call;Peru;Consulting;Healthcare;Pipeline;26;14;4;14;10;67;Referral;N/A;29/01/26;21/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2430;Deal 30 - Opportunity;Client_30;Catalina Reyes;HO-5246;Qualification;37897;26/07/26;111;19/04/26;31;no;no;si;Meeting;Paraguay;Consulting;Education;Pipeline;30;7;26;20;4;98;Referral;Partner Opportunity;18/02/26;3/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2431;Deal 31 - Opportunity;Client_31;Luis Vargas;HO-7275;Qualification;64679;14/06/26;18;10/05/26;10;no;no;si;Call;Chile;Services;Logistics;Pipeline;42;4;22;6;1;53;Event;Google Marketing;3/12/25;21/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2432;Deal 32 - Opportunity;Client_32;Pedro Gonzalez;HO-6763;Negotiation;58989;30/06/26;49;19/04/26;31;no;no;si;Email;Venezuela;Consulting;Legal;Best Case;41;9;24;12;6;68;Existing Client;N/A;23/02/26;19/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2433;Deal 33 - Opportunity;Client_33;Diego Morales;HO-8657;Qualification;46142;30/07/26;52;3/04/26;47;si;no;si;Call;Bolivia;Cloud Solutions;Telecom;Pipeline;46;4;19;17;0;50;Referral;N/A;14/04/26;15/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2434;Deal 34 - Opportunity;Client_34;Sofia Martinez;HO-7211;Qualification;143100;22/06/26;59;29/04/26;21;no;no;si;Task;Bolivia;Hardware;Financial;Pipeline;35;8;24;13;4;10;Event;Google Cloud;3/12/25;17/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2435;Deal 35 - Opportunity;Client_35;Ana Silva;HO-1333;Closed Lost;338830;18/05/26;0;4/05/26;16;no;no;si;Call;Chile;Cloud Solutions;Insurance;Closed Lost;0;4;7;4;7;85;Inbound;N/A;24/02/26;21/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2436;Deal 36 - Opportunity;Client_36;Ana Silva;HO-1420;Negotiation;82756;4/06/26;40;13/05/26;7;no;no;si;Demo;Mexico;Support;Legal;Best Case;47;9;18;12;6;91;Partner;Google Cloud;17/02/26;14/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2437;Deal 37 - Opportunity;Client_37;Luis Vargas;HO-6590;Qualification;37415;21/07/26;48;15/05/26;5;no;no;si;Demo;Peru;Support;Financial;Pipeline;38;0;27;13;7;13;Event;Google Marketing;24/12/25;5/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2438;Deal 38 - Opportunity;Client_38;Sofia Martinez;HO-5397;Negotiation;18790;24/06/26;60;22/04/26;28;no;no;si;Proposal Sent;Paraguay;Services;Legal;Best Case;74;10;27;7;1;35;Event;Google Workspace;23/12/25;14/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2439;Deal 39 - Opportunity;Client_39;Diego Morales;HO-6576;Negotiation;247376;25/06/26;28;27/04/26;23;no;no;si;Task;Ecuador;Cloud Solutions;Energy;Best Case;51;8;28;19;4;71;Inbound;N/A;3/03/26;15/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2440;Deal 40 - Opportunity;Client_40;Diego Morales;HO-2524;Proposal;49614;14/07/26;63;21/04/26;29;no;no;si;Email;Bolivia;Support;Healthcare;Best Case;80;9;7;12;3;39;Existing Client;N/A;16/01/26;20/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2441;Deal 41 - Opportunity;Client_41;Ana Silva;HO-2976;Qualification;20983;26/06/26;40;3/05/26;17;no;no;si;Call;Venezuela;Support;Logistics;Pipeline;39;6;10;3;8;97;Existing Client;Google Workspace;2/03/26;7/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2442;Deal 42 - Opportunity;Client_42;Luis Vargas;HO-5952;Negotiation;54566;12/06/26;30;26/04/26;24;no;no;si;Call;Paraguay;Support;Technology;Best Case;52;0;22;17;2;35;Inbound;Google Cloud;30/11/25;2/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2443;Deal 43 - Opportunity;Client_43;Sofia Martinez;HO-1841;Proposal;36176;29/06/26;57;28/04/26;22;no;no;si;Call;Bolivia;Cloud Solutions;Financial;Best Case;75;8;30;15;1;8;Event;Partner Opportunity;2/04/26;14/04/26;6/07/26;11514,09;12077,46;USD;Pending;0;Credit Card;0;Product;TAX-812989;38,4
D-2444;Deal 44 - Opportunity;Client_44;Carlos Ruiz;HO-4697;Negotiation;137758;9/06/26;16;14/04/26;36;no;no;si;Meeting;Mexico;Hardware;Legal;Best Case;45;12;14;14;4;75;Event;Google Marketing;26/11/25;11/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2445;Deal 45 - Opportunity;Client_45;Unassigned;;Discovery;49935;29/06/26;31;20/02/26;89;si;si;si;Demo;Peru;Hardware;Insurance;Pipeline;12;2;5;0;6;57;Existing Client;N/A;21/12/25;2/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2446;Deal 46 - Opportunity;Client_46;Unassigned;;Negotiation;69627;7/07/26;30;28/01/26;112;si;si;si;Proposal Sent;Argentina;Services;Government;Best Case;44;6;13;3;8;28;Existing Client;Google Workspace;11/02/26;29/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2447;Deal 47 - Opportunity;Client_47;Inactive User;HO-5982;Proposal;57081;17/06/26;57;18/02/26;91;si;si;si;Meeting;Colombia;Hardware;Technology;Best Case;78;12;30;8;8;69;Event;Partner Opportunity;31/03/26;12/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2448;Deal 48 - Opportunity;Client_48;Unassigned;;Qualification;56806;23/06/26;87;31/03/26;50;si;no;si;Proposal Sent;Venezuela;Services;Legal;Pipeline;27;8;18;1;2;60;Referral;Partner Opportunity;8/02/26;9/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2449;Deal 49 - Opportunity;Client_49;Diego Morales;HO-6403;Qualification;202681;29/06/26;86;13/05/26;7;no;no;si;Call;Bolivia;Cloud Solutions;Energy;Pipeline;35;13;22;15;4;84;Event;N/A;11/04/26;21/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2450;Deal 50 - Opportunity;Client_50;Unassigned;;Negotiation;26637;26/06/26;106;5/04/26;45;no;no;si;Proposal Sent;Argentina;Services;Retail;Best Case;65;14;13;1;3;66;Sales Development;N/A;14/12/25;10/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2451;Deal 51 - Opportunity;Client_51;Carlos Ruiz;HO-2989;Discovery;97263;17/07/26;113;5/04/26;45;no;no;si;Meeting;Chile;Services;Education;Pipeline;19;0;20;19;3;90;Partner;Google Marketing;30/11/25;20/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2452;Deal 52 - Opportunity;Client_52;Maria Lopez;HO-9337;Negotiation;276918;25/06/26;120;4/04/26;46;si;no;si;Task;Chile;Cloud Solutions;Energy;Best Case;49;8;13;15;7;31;Event;N/A;14/03/26;26/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2453;Deal 53 - Opportunity;Client_53;Roberto Sanchez;HO-5377;Negotiation;330337;15/06/26;120;30/03/26;51;si;no;si;Demo;Mexico;Cloud Solutions;Technology;Best Case;66;0;9;9;9;74;Existing Client;Partner Opportunity;13/03/26;22/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2454;Deal 54 - Opportunity;Client_54;Ana Silva;HO-7274;Qualification;90534;3/08/26;25;5/04/26;45;no;no;si;Call;Ecuador;Support;Education;Pipeline;35;7;27;13;0;40;Existing Client;Partner Opportunity;13/01/26;26/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2455;Deal 55 - Opportunity;Client_55;Sofia Martinez;HO-2633;Proposal;219317;20/06/26;112;13/05/26;7;no;no;si;Meeting;Bolivia;Cloud Solutions;Manufacturing;Best Case;78;14;0;4;6;83;Partner;Google Cloud;21/12/25;31/03/26;23/06/26;102438,16;97767,11;USD;Pending;0;Check;0;Product;TAX-438354;34,7
D-2456;Deal 56 - Opportunity;Client_56;Ana Silva;HO-8994;Negotiation;324609;18/06/26;41;9/04/26;41;no;no;si;Proposal Sent;Venezuela;Cloud Solutions;Logistics;Best Case;74;1;19;2;3;80;Existing Client;Google Marketing;21/02/26;3/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2457;Deal 57 - Opportunity;Client_57;Unassigned;;Discovery;53760;15/08/26;4;25/03/26;56;si;no;si;Task;Peru;Cloud Solutions;Energy;Pipeline;19;1;9;11;5;55;Partner;Google Workspace;6/12/25;24/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2458;Deal 58 - Opportunity;Client_58;Sofia Martinez;HO-3344;Proposal;41458;8/07/26;88;4/05/26;16;no;no;si;Meeting;Mexico;Hardware;Retail;Best Case;72;7;14;20;4;58;Sales Development;Google Cloud;22/12/25;24/03/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2459;Deal 59 - Opportunity;Client_59;Roberto Sanchez;HO-8484;Negotiation;39699;4/07/26;55;5/04/26;45;no;no;si;Task;Mexico;Cloud Solutions;Energy;Best Case;59;9;6;12;7;13;Partner;Partner Opportunity;25/11/25;28/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2460;Deal 60 - Opportunity;Client_60;Luis Vargas;HO-1803;Closed Won;85306;22/04/26;0;6/04/26;44;no;no;si;Proposal Sent;Colombia;Consulting;Technology;Closed Won;100;15;26;9;3;77;Sales Development;Google Workspace;3/03/26;11/04/26;22/05/26;85306,16;83023,44;MXN;Paid;3/06/26;Credit Card;0;Product;TAX-115722;29,1
D-2461;Deal 61 - Opportunity;Client_61;Sofia Martinez;HO-2476;Negotiation;151320;1/07/26;47;3/04/26;47;si;no;si;Call;Peru;Cloud Solutions;Technology;Best Case;42;9;10;13;2;25;Partner;N/A;17/01/26;17/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2462;Deal 62 - Opportunity;Client_62;Luis Vargas;HO-2233;Negotiation;34421;15/06/26;103;12/05/26;8;no;no;si;Meeting;Mexico;Services;Energy;Best Case;58;4;24;7;10;92;Existing Client;Partner Opportunity;29/11/25;27/04/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
D-2463;Deal 63 - Opportunity;Client_63;Unassigned;;Proposal;294340;22/06/26;87;28/01/26;112;si;si;si;Demo;Venezuela;Cloud Solutions;Technology;Best Case;74;12;26;20;5;13;Existing Client;Google Workspace;21/12/25;19/05/26;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura;Sin_Factura
